date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,year,hpoints,apoints,points
1998-06-10,Brazil,Scotland,2,1,FIFA World Cup,Saint-Denis,France,TRUE,Brazil,1998,3,0,3
1998-06-10,Morocco,Norway,2,2,FIFA World Cup,Montpellier,France,TRUE,Draw,1998,1,1,2
1998-06-11,Cameroon,Austria,1,1,FIFA World Cup,Toulouse,France,TRUE,Draw,1998,1,1,2
1998-06-11,Italy,Chile,2,2,FIFA World Cup,Bordeaux,France,TRUE,Draw,1998,1,1,2
1998-06-12,France,South Africa,3,0,FIFA World Cup,Marseille,France,FALSE,France,1998,3,0,3
1998-06-12,Paraguay,Bulgaria,0,0,FIFA World Cup,Montpellier,France,TRUE,Draw,1998,1,1,2
1998-06-12,Saudi Arabia,Denmark,0,1,FIFA World Cup,Lens,France,TRUE,Denmark,1998,0,3,3
1998-06-13,South Korea,Mexico,1,3,FIFA World Cup,Lyon,France,TRUE,Mexico,1998,0,3,3
1998-06-13,Netherlands,Belgium,0,0,FIFA World Cup,Saint-Denis,France,TRUE,Draw,1998,1,1,2
1998-06-13,Spain,Nigeria,2,3,FIFA World Cup,Nantes,France,TRUE,Nigeria,1998,0,3,3
1998-06-14,Argentina,Japan,1,0,FIFA World Cup,Toulouse,France,TRUE,Argentina,1998,3,0,3
1998-06-14,Jamaica,Croatia,1,3,FIFA World Cup,Lens,France,TRUE,Croatia,1998,0,3,3
1998-06-14,Serbia,Iran,1,0,FIFA World Cup,Saint-Étienne,France,TRUE,Serbia,1998,3,0,3
1998-06-15,England,Tunisia,2,0,FIFA World Cup,Marseille,France,TRUE,England,1998,3,0,3
1998-06-15,Germany,United States,2,0,FIFA World Cup,Paris,France,TRUE,Germany,1998,3,0,3
1998-06-15,Romania,Colombia,1,0,FIFA World Cup,Lyon,France,TRUE,Romania,1998,3,0,3
1998-06-16,Brazil,Morocco,3,0,FIFA World Cup,Nantes,France,TRUE,Brazil,1998,3,0,3
1998-06-16,Scotland,Norway,1,1,FIFA World Cup,Bordeaux,France,TRUE,Draw,1998,1,1,2
1998-06-17,Chile,Austria,1,1,FIFA World Cup,Saint-Étienne,France,TRUE,Draw,1998,1,1,2
1998-06-17,Italy,Cameroon,3,0,FIFA World Cup,Montpellier,France,TRUE,Italy,1998,3,0,3
1998-06-18,France,Saudi Arabia,4,0,FIFA World Cup,Saint-Denis,France,FALSE,France,1998,3,0,3
1998-06-18,South Africa,Denmark,1,1,FIFA World Cup,Toulouse,France,TRUE,Draw,1998,1,1,2
1998-06-19,Nigeria,Bulgaria,1,0,FIFA World Cup,Paris,France,TRUE,Nigeria,1998,3,0,3
1998-06-19,Spain,Paraguay,0,0,FIFA World Cup,Saint-Étienne,France,TRUE,Draw,1998,1,1,2
1998-06-20,Belgium,Mexico,2,2,FIFA World Cup,Bordeaux,France,TRUE,Draw,1998,1,1,2
1998-06-20,Japan,Croatia,0,1,FIFA World Cup,Nantes,France,TRUE,Croatia,1998,0,3,3
1998-06-20,Netherlands,South Korea,5,0,FIFA World Cup,Marseille,France,TRUE,Netherlands,1998,3,0,3
1998-06-21,Argentina,Jamaica,5,0,FIFA World Cup,Paris,France,TRUE,Argentina,1998,3,0,3
1998-06-21,Germany,Serbia,2,2,FIFA World Cup,Lens,France,TRUE,Draw,1998,1,1,2
1998-06-21,United States,Iran,1,2,FIFA World Cup,Lyon,France,TRUE,Iran,1998,0,3,3
1998-06-22,Colombia,Tunisia,1,0,FIFA World Cup,Montpellier,France,TRUE,Colombia,1998,3,0,3
1998-06-22,Romania,England,2,1,FIFA World Cup,Toulouse,France,TRUE,Romania,1998,3,0,3
1998-06-23,Brazil,Norway,1,2,FIFA World Cup,Marseille,France,TRUE,Norway,1998,0,3,3
1998-06-23,Chile,Cameroon,1,1,FIFA World Cup,Nantes,France,TRUE,Draw,1998,1,1,2
1998-06-23,Italy,Austria,2,1,FIFA World Cup,Saint-Denis,France,TRUE,Italy,1998,3,0,3
1998-06-23,Scotland,Morocco,0,3,FIFA World Cup,Saint-Étienne,France,TRUE,Morocco,1998,0,3,3
1998-06-24,France,Denmark,2,1,FIFA World Cup,Lyon,France,FALSE,France,1998,3,0,3
1998-06-24,Nigeria,Paraguay,1,3,FIFA World Cup,Toulouse,France,TRUE,Paraguay,1998,0,3,3
1998-06-24,South Africa,Saudi Arabia,2,2,FIFA World Cup,Bordeaux,France,TRUE,Draw,1998,1,1,2
1998-06-24,Spain,Bulgaria,6,1,FIFA World Cup,Lens,France,TRUE,Spain,1998,3,0,3
1998-06-25,Belgium,South Korea,1,1,FIFA World Cup,Paris,France,TRUE,Draw,1998,1,1,2
1998-06-25,Germany,Iran,2,0,FIFA World Cup,Montpellier,France,TRUE,Germany,1998,3,0,3
1998-06-25,Netherlands,Mexico,2,2,FIFA World Cup,Saint-Étienne,France,TRUE,Draw,1998,1,1,2
1998-06-25,United States,Serbia,0,1,FIFA World Cup,Nantes,France,TRUE,Serbia,1998,0,3,3
1998-06-26,Argentina,Croatia,1,0,FIFA World Cup,Bordeaux,France,TRUE,Argentina,1998,3,0,3
1998-06-26,Colombia,England,0,2,FIFA World Cup,Lens,France,TRUE,England,1998,0,3,3
1998-06-26,Japan,Jamaica,1,2,FIFA World Cup,Lyon,France,TRUE,Jamaica,1998,0,3,3
1998-06-26,Romania,Tunisia,1,1,FIFA World Cup,Saint-Denis,France,TRUE,Draw,1998,1,1,2
1998-06-27,Brazil,Chile,4,1,FIFA World Cup,Paris,France,TRUE,Brazil,1998,3,0,3
1998-06-27,Italy,Norway,1,0,FIFA World Cup,Marseille,France,TRUE,Italy,1998,3,0,3
1998-06-28,France,Paraguay,1,0,FIFA World Cup,Lens,France,FALSE,France,1998,3,0,3
1998-06-28,Nigeria,Denmark,1,4,FIFA World Cup,Saint-Denis,France,TRUE,Denmark,1998,0,3,3
1998-06-29,Germany,Mexico,2,1,FIFA World Cup,Montpellier,France,TRUE,Germany,1998,3,0,3
1998-06-29,Netherlands,Serbia,2,1,FIFA World Cup,Toulouse,France,TRUE,Netherlands,1998,3,0,3
1998-06-30,Argentina,England,2,2,FIFA World Cup,Saint-Étienne,France,TRUE,Draw,1998,1,1,2
1998-06-30,Romania,Croatia,0,1,FIFA World Cup,Bordeaux,France,TRUE,Croatia,1998,0,3,3
1998-07-03,Brazil,Denmark,3,2,FIFA World Cup,Nantes,France,TRUE,Brazil,1998,3,0,3
1998-07-03,France,Italy,0,0,FIFA World Cup,Saint-Denis,France,FALSE,Draw,1998,1,1,2
1998-07-04,Germany,Croatia,0,3,FIFA World Cup,Lyon,France,TRUE,Croatia,1998,0,3,3
1998-07-04,Netherlands,Argentina,2,1,FIFA World Cup,Marseille,France,TRUE,Netherlands,1998,3,0,3
1998-07-07,Brazil,Netherlands,1,1,FIFA World Cup,Marseille,France,TRUE,Draw,1998,1,1,2
1998-07-08,France,Croatia,2,1,FIFA World Cup,Saint-Denis,France,FALSE,France,1998,3,0,3
1998-07-11,Netherlands,Croatia,1,2,FIFA World Cup,Paris,France,TRUE,Croatia,1998,0,3,3
1998-07-12,France,Brazil,3,0,FIFA World Cup,Saint-Denis,France,FALSE,France,1998,3,0,3
